                    MSE               RMSE                 R2             Bottle Model
1      3.14285714285714   1.77281052085584               <NA> EQ.80..WEFFL.20..A ARIMA
2   0.00567546120828315 0.0753356569512946  0.221977671264071 EQ.80..WEFFL.20..B ARIMA
3  0.000126243553779482 0.0112358156704123               <NA> EQ.80..WEFFL.20..C ARIMA
4   0.00725548105545213 0.0851791116145979               <NA>         WMID.50..A ARIMA
5   0.00235881264031146 0.0485676089622648  0.747568358270465         WMID.50..B ARIMA
6  0.000172478468204834 0.0131331058095499 0.0052150072889041         WMID.50..C ARIMA
7  0.000238888598087004 0.0154560214184312               <NA>         EMID.50..A ARIMA
8  0.000149347176435183 0.0122207682424299               <NA>         EMID.50..B ARIMA
9  0.000206601593701138 0.0143736423254907               <NA>         EMID.50..C ARIMA
10 0.000335098765163309 0.0183057030775469               <NA>       EEFFL.100..A ARIMA
11 0.000233427189443248 0.0152783241699883 0.0795187961710666       EEFFL.100..B ARIMA
12  0.00017321813359923  0.013161236020953  0.046346856155673       EEFFL.100..C ARIMA
13 0.000111789192624394 0.0105730408409499 0.0203837259172258        WEFFL.20..A ARIMA
14  0.00187127846607083 0.0432582762725334  0.307137030774679        WEFFL.20..B ARIMA
