                    MSE                 RMSE                R2             Bottle Model
1      667.611111111113     25.8381715899387              <NA> EQ.80..WEFFL.20..B   ELM
2   7.6852704137745e-09 8.76656740906867e-05              <NA>         WMID.50..A   ELM
3  0.000327954581302435   0.0181095163188428 0.819611357529369         WMID.50..B   ELM
4   0.00808101264849789   0.0898944528238417              <NA>         WMID.50..C   ELM
5    0.0118100213627617    0.108673922183575 0.805274130825562         EMID.50..A   ELM
6   0.00163827634592036   0.0404756265661244              <NA>         EMID.50..B   ELM
7  0.000300434799746122   0.0173330551186489 0.011283016223604         EMID.50..C   ELM
8   0.00130067107453426   0.0360648176833636 0.207585941787226       EEFFL.100..A   ELM
9   0.00053831254499788   0.0232015634171036  0.19309934448441       EEFFL.100..B   ELM
10 0.000891303895115144   0.0298547131139313 0.144031320474894       EEFFL.100..C   ELM
11  0.00605216149658331   0.0777956393159881  0.47158104844703        WEFFL.20..A   ELM
12   0.0120865355225687    0.109938780794443 0.159572710947806        WEFFL.20..B   ELM
