                    MSE               RMSE                  R2             Bottle Model
1       2.8282552134171   1.68174172018687  0.0349855744591586 EQ.80..WEFFL.20..A   MLP
2    0.0163061842220848  0.127695670334138   0.304617511447385 EQ.80..WEFFL.20..B   MLP
3   0.00010222531791371 0.0101106536837986                <NA> EQ.80..WEFFL.20..C   MLP
4    0.0111465474463507  0.105577210828619   0.226640023047364         WMID.50..A   MLP
5  0.000507178843956311 0.0225206315177064   0.765233035405496         WMID.50..B   MLP
6  0.000158585217837993 0.0125930622899275   0.616829696254734         WMID.50..C   MLP
7  0.000233977943155761 0.0152963375732808   0.768893057778761         EMID.50..A   MLP
8  0.000132996092551753   0.01153239318406 0.00131425159990204         EMID.50..B   MLP
9  0.000148441278462938 0.0121836479948716   0.307602694987827         EMID.50..C   MLP
10   0.0014065061064108 0.0375034145966844   0.604080613863428       EEFFL.100..A   MLP
11  0.00189362426443961 0.0435157932760005   0.756905172300823       EEFFL.100..B   MLP
12 0.000191044791934483 0.0138218953814042   0.650040226903369       EEFFL.100..C   MLP
13 0.000101065565884638  0.010053137116574   0.718818549389305        WEFFL.20..A   MLP
14 0.000794957613139469 0.0281949926962124   0.215326118838256        WEFFL.20..B   MLP
