Day,Date,Batch,Location,Name,Description,Replicate,pH,Cumulative_Gas ,Cumulative_Gas_Yield_gVSadded,Volume_CH4,Cumulative_CH4_Volume,CH4_Yield_VS_added,CH4_Yield_VS_des
0,1/18/2018,1,Digester F,DM(100),Digester Influent B,B,7.55,0,0,0,0,0,0
1,1/19/2018,1,Digester F,DM(100),Digester Influent B,B,6.73,122.7131082,6.721424859,49.08524326,49.08524326,2.688569944,1.997681538
2,1/20/2018,1,Digester F,DM(100),Digester Influent B,B,6.8,235.893734,12.92072242,56.5903129,105.6755562,5.788218723,4.300805976
3,1/21/2018,1,Digester F,DM(100),Digester Influent B,B,6.53,335.13443,18.35648141,49.62034804,155.2959042,8.506098222,6.320265321
5,1/23/2018,1,Digester F,DM(100),Digester Influent B,B,7.52,434.549374,23.80178458,33.13831467,188.4342189,10.32119928,7.66893541
7,1/25/2018,1,Digester F,DM(100),Digester Influent B,B,7.08,536.6591714,29.39469426,68.07319823,256.5074171,14.04980573,10.43939273
9,1/27/2018,1,Digester F,DM(100),Digester Influent B,B,8.9,711.0630822,38.94740463,129.1880821,385.6954992,21.12588749,15.69711642
11,1/29/2018,1,Digester F,DM(100),Digester Influent B,B,7.43,793.2621615,43.44973485,59.78114859,445.4766478,24.40030947,18.13010216
13,1/31/2018,1,Digester F,DM(100),Digester Influent B,B,7.56,955.6144846,52.34233774,132.4453162,577.921964,31.6548013,23.52038945
15,2/2/2018,1,Digester F,DM(100),Digester Influent B,B,7.72,1140.301914,62.45831227,149.6201956,727.5421596,39.85002117,29.60966359
17,2/4/2018,1,Digester F,DM(100),Digester Influent B,B,7.75,1475.16518,80.79994109,276.1153247,1003.657484,54.97382037,40.84706306
19,2/6/2018,1,Digester F,DM(100),Digester Influent B,B,8.78,1814.721361,99.39861726,274.4745801,1278.132064,70.00775027,52.01768716
22,2/9/2018,1,Digester F,DM(100),Digester Influent B,B,8.01,2225.152529,121.8793636,338.4256995,1616.557764,88.54450599,65.79100735
24,2/11/2018,1,Digester F,DM(100),Digester Influent B,B,8.72,2386.188474,130.6998639,135.1551686,1751.712933,95.94742589,71.29158078
26,2/13/2018,1,Digester F,DM(100),Digester Influent B,B,8.17,2537.98653,139.0143727,125.0101636,1876.723096,102.7946685,76.37927067
28,2/15/2018,1,Digester F,DM(100),Digester Influent B,B,7.91,2630.729061,144.0942045,61.82835375,1938.55145,106.181223,78.895574
30,2/17/2018,1,Digester F,DM(100),Digester Influent B,B,7.83,2704.29485,148.1236593,53.50239207,1992.053842,109.1117356,81.07302558
32,2/19/2018,1,Digester F,DM(100),Digester Influent B,B,7.98,2784.165569,152.4984572,39.93535975,2031.989202,111.2991345,82.69832324
34,2/21/2018,1,Digester F,DM(100),Digester Influent B,B,7.81,2839.762268,155.5436822,0,2031.989202,111.2991345,82.69832324
36,2/23/2018,1,Digester F,DM(100),Digester Influent B,B,7.55,2904.434642,159.0860137,0,2031.989202,111.2991345,82.69832324
38,2/25/2018,1,Digester F,DM(100),Digester Influent B,B,7.84,2954.421501,161.8239683,0,2031.989202,111.2991345,82.69832324
40,2/27/2018,1,Digester F,DM(100),Digester Influent B,B,7.91,3016.835944,165.242625,0,2031.989202,111.2991345,82.69832324
0,1/18/2018,1,Digester F,DM(100),Digester Influent C,C,7.81,0,0,0,0,0,0
1,1/19/2018,1,Digester F,DM(100),Digester Influent C,C,6.46,117.7660961,6.450459756,NA,0,0,0
2,1/20/2018,1,Digester F,DM(100),Digester Influent C,C,6.38,117.7660961,6.450459756,NA,0,0,0
3,1/21/2018,1,Digester F,DM(100),Digester Influent C,C,7,285.2239402,15.62270984,73.07251379,73.07251379,4.002436399,3.797564809
5,1/23/2018,1,Digester F,DM(100),Digester Influent C,C,6.72,377.9644598,20.7024315,26.49729133,99.56980512,5.453785446,5.17462406
7,1/25/2018,1,Digester F,DM(100),Digester Influent C,C,7.42,475.230928,26.03005515,54.03692677,153.6067319,8.413576363,7.982912989
9,1/27/2018,1,Digester F,DM(100),Digester Influent C,C,8.11,645.1983973,35.33976616,128.342783,281.9495148,15.44335814,14.6528633
11,1/29/2018,1,Digester F,DM(100),Digester Influent C,C,7.57,745.6438048,40.8415114,70.68380528,352.6333201,19.31495665,18.32628738
13,1/31/2018,1,Digester F,DM(100),Digester Influent C,C,7.3,863.323618,47.28724514,88.97741975,441.6107399,24.18856021,22.95042716
15,2/2/2018,1,Digester F,DM(100),Digester Influent C,C,7.35,1211.726999,66.37051327,268.4419492,710.0526891,38.89206188,36.90130481
17,2/4/2018,1,Digester F,DM(100),Digester Influent C,C,7.33,1598.131685,87.53524541,307.9162344,1017.968923,55.7577078,52.90365364
19,2/6/2018,1,Digester F,DM(100),Digester Influent C,C,8.06,2073.735376,113.5857181,374.8401973,1392.809121,76.28901255,72.38402825
22,2/9/2018,1,Digester F,DM(100),Digester Influent C,C,8.11,2997.265283,164.1706716,728.0738417,2120.882962,116.1681558,110.221889
24,2/11/2018,1,Digester F,DM(100),Digester Influent C,C,8.35,3584.956462,196.3605669,459.2880642,2580.171027,141.3249647,134.0910034
26,2/13/2018,1,Digester F,DM(100),Digester Influent C,C,8.07,3768.563535,206.4173666,153.7175496,2733.888576,149.7446109,142.0796755
28,2/15/2018,1,Digester F,DM(100),Digester Influent C,C,7.8,3898.709125,213.5458944,0,2733.888576,149.7446109,142.0796755
30,2/17/2018,1,Digester F,DM(100),Digester Influent C,C,7.82,4006.609349,219.4559659,80.92516833,2814.813745,154.1771646,146.2853413
32,2/19/2018,1,Digester F,DM(100),Digester Influent C,C,7.81,4105.960146,224.8977555,66.23386415,2881.047609,157.8050243,149.7275028
34,2/21/2018,1,Digester F,DM(100),Digester Influent C,C,7.84,4175.893084,228.7282264,41.95976299,2923.007372,160.1033069,151.9081438
36,2/23/2018,1,Digester F,DM(100),Digester Influent C,C,7.46,4264.272878,233.5690959,44.18989678,2967.197268,162.5237416,154.2046844
38,2/25/2018,1,Digester F,DM(100),Digester Influent C,C,7.81,4356.240744,238.6064966,45.98393296,3013.181201,165.042442,156.5944608
40,2/27/2018,1,Digester F,DM(100),Digester Influent C,C,7.85,4440.371026,243.2146056,0,3013.181201,165.042442,156.5944608
0,1/18/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.51,0,0,0,0,0,0
1,1/19/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,6.3,103.7907869,6.410287525,51.89539347,51.89539347,3.205143762,2.288300493
2,1/20/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,6.3,230.218035,14.21863964,55.31192101,107.2073145,6.621297813,4.727250999
3,1/21/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,6.66,334.4621355,20.65692455,41.6976402,148.9049547,9.196611775,6.565886844
5,1/23/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,6.85,465.9143164,28.77562467,85.26627951,234.1712342,14.46279564,10.32565927
7,1/25/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.01,587.5216183,36.28628909,88.74046354,322.9116977,19.94355076,14.23862404
9,1/27/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.78,587.5216183,36.28628909,NA,322.9116977,19.94355076,14.23862404
11,1/29/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.34,1193.201561,73.69406581,499.4203041,822.3320018,50.78855963,36.26030365
13,1/31/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.33,1517.521594,93.72459761,268.1045602,1090.436562,67.34713259,48.08223536
15,2/2/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.3,1973.579068,121.8914477,381.1575239,1471.594086,90.88804014,64.88917893
17,2/4/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.4,2403.605098,148.4505535,346.9117553,1818.505841,112.3138734,80.18607308
19,2/6/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.87,2676.780611,165.3223167,226.5357909,2045.041632,126.3050917,90.17505144
22,2/9/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,8.14,2873.389174,177.4651808,152.9177714,2197.959404,135.7495415,96.91788136
24,2/11/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,8.18,2991.194653,184.7410385,86.95166282,2284.911066,141.1198174,100.7519699
26,2/13/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,8.12,3095.402473,191.1770827,78.15586534,2363.066932,145.9468506,104.1982123
28,2/15/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.84,3181.687798,196.5062044,51.77119495,2414.838127,149.1443236,106.4810363
30,2/17/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.88,3248.922415,200.6587235,44.82307774,2459.661204,151.9126697,108.4574867
32,2/19/2018,1,Digester F,DM(90)+EFFL(10),Digester Influent/Digester Effluent A,A,7.87,3344.786037,206.5794165,31.95454067,2491.615745,153.886234,109.8665056
