                    MSE                RMSE                   R2             Bottle  Model
1      2.83777053251272    1.68456835198597    0.315115107987088 EQ.80..WEFFL.20..B NNETAR
2  1.58006814791169e-05 0.00397500710428508                 <NA>         WMID.50..A NNETAR
3  0.000349273342313359  0.0186888560996482   0.0197821078283464         WMID.50..B NNETAR
4    0.0071285092861527  0.0844304997388545    0.418015247963809         WMID.50..C NNETAR
5   0.00405708643657312  0.0636952622772928                 <NA>         EMID.50..A NNETAR
6   0.00204776433257113  0.0452522301392001    0.407066365314314         EMID.50..B NNETAR
7   0.00168626076642096  0.0410641055719098    0.106972858091094         EMID.50..C NNETAR
8   0.00321453750760629  0.0566968915162576   0.0210730819739352       EEFFL.100..A NNETAR
9   0.00124959009836256  0.0353495416994699     0.64366201469007       EEFFL.100..B NNETAR
10  0.00170322371212825  0.0412701309923806 0.000137241893475406       EEFFL.100..C NNETAR
11  0.00234451999437334  0.0484202436422344 4.89879122998418e-05        WEFFL.20..A NNETAR
12  0.00520435854417256  0.0721412402455943     0.88850085596539        WEFFL.20..B NNETAR
