Day,Date,Volume,Substrate:Inoculum,Location,Code,Inoculum,Foaming,Substrate,Replicate,pH,CH4_Yield_VS_added,CH4_Yield_VS_des,CH4_Yield_TCOD_added,TS,VS,CONDUCTIVITY,TCOD,SCOD,SCOD:TCOD,TKN,TN,INORGN,OrgN,TVFA,TALK,TANNIC,SULFATE,TAN,TP,FE,NI,CU,OP,OP:TP,TVFA.TALK,TAN:TKN,TCOD:TKN,TCOD:TN:TP,TCOD:SULFATE,FS.TS,VS.TS,FE(II).S,Fe(II):TP,HRTcrit,um,Kchen,K1,K2,Kt,T80,T90,lag,FoamPotential,CODremoved,SRBCOD,MethCOD,H2S_yield_gVSadded,H2S_yield_gVSdes,H2S_yield_gTCODadded,R^2_adj_Chen,R^2_adj_1st,R^2_adj_2nd,R^2_adj_Gompertz,HRTcrit_avg,um_avg,Kchen_avg,K1_avg,K2_avg,Kt_avg,T80_avg,T90_avg,lag_avg,K1_avg,K2_avg,R^2_adj_avg_Chen,R^2_adj_avg_1st,R^2_adj_avg_2nd,R^2_adj_avg_Gompertz,R^2_adj_avg_1stmod,B_pred_avg_Chen,B_pred_avg_1st,B_pred_avg_2nd,B_pred_avg_Gompertz,B_pred_avg_1stmod,B_R^2_adj_avg_pred_Chen,B_R^2_adj_avg_pred_1stmod,B_R^2_adj_avg_pred_1st,B_R^2_adj_avg_B_avg_pred_2nd,B_R^2_adj_pred_avg_Gompertz,B_R^2_adj_pred_avg_1stmod
Zero,6/5/2018,1000,90/10,Digester B,IW,Yes,Yes,EQ(90)+WEFFL(10) ,A,6.55,11.01819197,85.36100138,5.9561006,99.1272577,80.83457489,9.913134865,149.5359,37.69096667,0.252052963,1.5295,1.5496,0.05305,0.003378089,9.273233333,6.557516667,2.42827,6.9721,1.81039,2.12,0.0136923,0.0038359,0.00432335,2.12,1,1.414137974,1.183648251,97.76783263,45.51871572,21.44775606,0.184537364,0.815462636,0.003378089,0.010983711,3.788358892,0.263966543,0.223643602,0.1486,0.0011,0.113846154,13.50534544,27.91999902,1.080784617,34.31869667,0.175081034,0.004606432,0.170474602,0.001986543,0.015390298,0.001073865,0.73155,0.966958333,0.966958333,0.937215385,2.31631469,0.431720269,0.959466667,0.1141,0.0001,0.068548387,7.856980249,23.16073419,4.251437088,-0.07316,0.97571,0.959466667,0.889493333,0.950186667,0.83329375,0.8261253,8.961431116,9.914217098,10.19449452,8.598428982,9.914217807,0.906865994,0.802710792,0.802710822,0.784347157,0.966628152,0.802710792
Zero,6/5/2018,1000,90/10,Digester B,IW,Yes,Yes,EQ(90)+WEFFL(10) ,B,6.59,8.63018023,40.79760581,4.665213839,99.1272577,80.83457489,9.913134865,149.5359,37.69096667,0.252052963,1.5295,1.5496,0.05305,0.003378089,9.273233333,6.557516667,2.42827,6.9721,1.81039,2.12,0.0136923,0.0038359,0.00432335,2.12,1,1.414137974,1.183648251,97.76783263,45.51871572,21.44775606,0.184537364,0.815462636,0.003378089,0.010983711,-1.891891892,-0.528571429,-1.904761905,0.275,-0.0776,0.168831169,11.55929953,29.40165029,0.741335587,28.2551025,-0.613966947,0.00653754,-0.620504488,0.004356167,0.020592985,0.002354812,0.826107143,0.888945455,0.7215625,0.897781818,2.31631469,0.431720269,0.959466667,0.1141,0.0001,0.068548387,7.856980249,23.16073419,4.251437088,-0.07316,0.97571,0.959466667,0.889493333,0.950186667,0.83329375,0.8261253,8.961431116,9.914217098,10.19449452,8.598428982,9.914217807,0.906865994,0.802710792,0.802710822,0.784347157,0.966628152,0.802710792
Zero,6/5/2018,1000,90/10,Digester B,IW,Yes,Yes,EQ(90)+WEFFL(10) ,C,6.49,6.771025667,25.43027443,3.660211236,99.1272577,80.83457489,9.913134865,149.5359,37.69096667,0.252052963,1.5295,1.5496,0.05305,0.003378089,9.273233333,6.557516667,2.42827,6.9721,1.81039,2.12,0.0136923,0.0038359,0.00432335,2.12,1,1.414137974,1.183648251,97.76783263,45.51871572,21.44775606,0.184537364,0.815462636,0.003378089,0.010983711,1.538137488,0.65013694,0.11178805,0.4958,0.0421,1.263888889,4.301355187,5.675000958,0.901392477,24.87490482,-0.405908782,0.006680917,-0.412589699,0.002568992,0.009648489,0.001388719,0.484125,0.69016,0.913917647,0.79204,2.31631469,0.431720269,0.959466667,0.1141,0.0001,0.068548387,7.856980249,23.16073419,4.251437088,-0.07316,0.97571,0.959466667,0.889493333,0.950186667,0.83329375,0.8261253,8.961431116,9.914217098,10.19449452,8.598428982,9.914217807,0.906865994,0.802710792,0.802710822,0.784347157,0.966628152,0.802710792
Zero,6/5/2018,1000,90/10,Digester B,IW,Yes,Yes,EQ(90)+WMID(10) ,A,6.89,6.734731404,74.0970959,3.57915205,100.2087542,81.01397628,9.860888717,152.4404,37.2901,0.244620849,1.45,1.4739,0.05473,0.003030552,9.1794,5.99795,2.335776667,6.988366667,1.75144,2.06,0.0123123,0.00380275,0.004494783,2.06,1,1.530422894,1.207889655,105.1313103,50.20706573,21.81345188,0.191547915,0.808452085,0.003030552,0.010164371,1.72394095,0.580066272,0.18615734,0.2401,0.0799,0.168831169,19.41784079,29.81753481,0.890501252,33.78186481,0.011436601,0.004924191,0.00651241,0.003766129,0.041435832,0.002001497,0.903890909,0.8819,0.913917647,0.87715,3.633772572,0.275196089,0.13430751,0.164,0.0857,0.113846154,26.5891327,31.03023819,3.055198973,0.02333,18.21816,0.663784615,0.903723077,0.86025,0.872275,0.5722337,4.861165994,4.491459887,4.678966892,4.491459866,4.491459866,0.476889739,0.895777233,0.895777231,0.871050643,0.929737865,0.895777233
Zero,6/5/2018,1000,90/10,Digester B,IW,Yes,Yes,EQ(90)+WMID(10) ,C,6.97,1.795753621,29.80444879,0.954347674,100.2087542,81.01397628,9.860888717,152.4404,37.2901,0.244620849,1.45,1.4739,0.05473,0.003030552,9.1794,5.99795,2.335776667,6.988366667,1.75144,2.06,0.0123123,0.00380275,0.004494783,2.06,1,1.530422894,1.207889655,105.1313103,50.20706573,21.81345188,0.191547915,0.808452085,0.003030552,0.010164371,1.72394095,0.580066272,0.18615734,0.2401,0.0799,0.168831169,19.41784079,29.81753481,0.890501252,33.78186481,0.011436601,0.004924191,0.00651241,0.003766129,0.041435832,0.002001497,0.903890909,0.8819,0.913917647,0.87715,3.633772572,0.275196089,0.13430751,0.164,0.0857,0.113846154,26.5891327,31.03023819,3.055198973,0.02333,18.21816,0.663784615,0.903723077,0.86025,0.872275,0.5722337,4.861165994,4.491459887,4.678966892,4.491459866,4.491459866,0.476889739,0.895777233,0.895777231,0.871050643,0.929737865,0.895777233
Zero,6/5/2018,1000,0/100,Digester B,EFFL,Yes,Yes,WEFFL(100),A,7.63,28.31590337,179.8579979,19.52243804,65.97123869,46.70343501,10.76652276,67.74,16.12366667,0.238022832,2.416,2.434,0.04,0.018738606,6.248333333,12.19166667,3.7144,5.668,3.3694,4.380066667,0.061746,0.00343,0.002324,1.7,0.388121946,0.512508544,1.394619205,15.46551803,6.353951532,11.95130558,0.292063694,0.707936306,0.018738606,0.023973788,3.650787402,0.273913512,1.078399655,0.0745,0.1222,0.137681159,22.82315661,29.09173168,1.788537008,95.36009522,-0.555255388,0.008387363,-0.563642752,1.60468219,0.468191667,0.698145455,0.2476,0.75625,0,0,8.534519573,0.117171212,0.092662089,0.935,0.0746,0.050793651,26.82950267,31.0497653,2.153876883,-0.02121,1.03245,0.228053333,0.700433333,0.863411765,0.228053333,0.9566209,0.228053333,52.26885609,52.48998025,51.74067047,52.26885609,0.990586638,0.349029305,0.990070978,0.987205977,0.98365749,0.990070978
Zero,6/5/2018,1000,0/100,Digester B,EFFL,Yes,Yes,WEFFL(100),B,7.66,61.05590416,383.060949,42.09507606,65.97123869,46.70343501,10.76652276,67.74,16.12366667,0.238022832,2.416,2.434,0.04,0.018738606,6.248333333,12.19166667,3.7144,5.668,3.3694,4.380066667,0.061746,0.00343,0.002324,1.7,0.388121946,0.512508544,1.394619205,15.46551803,6.353951532,11.95130558,0.292063694,0.707936306,0.018738606,0.023973788,7.537237237,0.132674609,0.398422248,0.0655,-0.0281,0.095238095,26.48445837,27.61333161,3.67217695,93.23722271,-0.40279008,0.014420726,-0.417210806,0.00159696,0.01001923,0.001101026,0.204717647,0.631952941,0.91245,0.7991875,8.534519573,0.117171212,0.092662089,0.935,0.0746,0.050793651,26.82950267,31.0497653,2.153876883,-0.02121,1.03245,0.228053333,0.700433333,0.863411765,0.228053333,0.9566209,0.228053333,52.26885609,52.48998025,51.74067047,52.26885609,0.990586638,0.349029305,0.990070978,0.987205977,0.98365749,0.990070978
Zero,6/5/2018,1000,0/100,Digester B,EFFL,Yes,Yes,WEFFL(100),C,7.64,76.97530479,563.6714703,53.07072844,65.97123869,46.70343501,10.76652276,67.74,16.12366667,0.238022832,2.416,2.434,0.04,0.018738606,6.248333333,12.19166667,3.7144,5.668,3.3694,4.380066667,0.061746,0.00343,0.002324,1.7,0.388121946,0.512508544,1.394619205,15.46551803,6.353951532,11.95130558,0.292063694,0.707936306,0.018738606,0.023973788,7.580315818,0.131920625,0.179581575,0.085,0.0478,0.050793651,24.38631099,30.58411551,0.302718613,87.29544973,-0.001476233,-0.005667405,0.004191172,0.001553935,0.011379087,0.001071362,0.337427778,0.791325,0.868705882,0.875270588,8.534519573,0.117171212,0.092662089,0.935,0.0746,0.050793651,26.82950267,31.0497653,2.153876883,-0.02121,1.03245,0.228053333,0.700433333,0.863411765,0.228053333,0.9566209,0.228053333,52.26885609,52.48998025,51.74067047,52.26885609,0.990586638,0.349029305,0.990070978,0.987205977,0.98365749,0.990070978
Zero,6/5/2018,1000,0/10,Digester B,EFFL,Yes,Yes,WEFFL(10),A,7.05,21.48974689,27.08943465,14.81613518,6.597123869,4.670343501,1.076652276,6.774,1.612366667,0.238022832,0.2416,0.2434,0.004,0.018738606,0.624833333,1.219166667,0.37144,0.5668,0.33694,0.438006667,0.0061746,0.000343,0.0002324,0.17,0.388121946,0.512508544,1.394619205,15.46551803,63.53951532,11.95130558,0.292063694,0.707936306,0.018738606,0.023973788,2.347639485,0.425959781,2.285191956,0.0662,0.0603,0.095238095,28.18890414,28.87632013,2.436263876,141.9396695,0.828757012,0.044488633,0.784268379,0.002439984,0.003075782,0.00168225,0.745428571,0.864366667,0.908892308,0.849661538,3.030859049,0.329939461,1.375894331,0.0943,-0.1846,0.095238095,28.85313772,30.92400992,0.676636569,-0.06289,2.63585,0.373535714,0.932285714,-0.071246429,0.951345455,0.8426606,18.13094195,19.81286976,20.09311759,39.62689923,18.13403238,0.983074573,0.42383224,0.982878993,0.975812739,0.91908418,0.42383224
Zero,6/5/2018,1000,0/10,Digester B,EFFL,Yes,Yes,WEFFL(10),B,7.15,14.77831787,18.35269158,10.18893133,6.597123869,4.670343501,1.076652276,6.774,1.612366667,0.238022832,0.2416,0.2434,0.004,0.018738606,0.624833333,1.219166667,0.37144,0.5668,0.33694,0.438006667,0.0061746,0.000343,0.0002324,0.17,0.388121946,0.512508544,1.394619205,15.46551803,63.53951532,11.95130558,0.292063694,0.707936306,0.018738606,0.023973788,0.453394209,2.205586175,0.414404708,0.0803,-0.0338,0.236842105,15.05549883,18.77694823,2.543112513,80.23391718,0.767788603,0.044884263,0.72290434,0.004473961,0.00555606,0.003084578,0.76405,0.864366667,0.908892308,0.845666667,3.030859049,0.329939461,1.375894331,0.0943,-0.1846,0.095238095,28.85313772,30.92400992,0.676636569,-0.06289,2.63585,0.373535714,0.932285714,-0.071246429,0.951345455,0.8426606,18.13094195,19.81286976,20.09311759,39.62689923,18.13403238,0.983074573,0.42383224,0.982878993,0.975812739,0.91908418,0.42383224
