Substrate,Date,Location,Methane_Yield,Predicted_Chen,Predicted_Gompertz,Predicted_1st,Predicted_2nd,Predicted_1stmod
A1-S1 (25% COD),6,Lafayette Renew,157.99,166.5(0.96),156.78(2.4),247.8(0.71),249.58(0.7),254.48(0.54)
A2-S1 (50% COD),6,Lafayette Renew,163.85,0(0.79),739.55(0.66),182.42(0.91),188.81(0.91),178.61(0.91)
B1-S2 (25% COD),6,Lafayette Renew,193.44,393.39(0.88),194.99(0.99),292.86(0.68),27.53(0.18),212.16(0.92)
B3-S2 (75% COD),6,Lafayette Renew,114.83,147.09(0.89),90.81(0.97),44.15(0.8),44.13(0.8),43.77(0.8)
C1-S3 (25% COD),6,Lafayette Renew,168.85,103.18(-0.04),188.73(0.96),167.67(0.93),33.64(0.94),164.8(0.93)
C2-S3 (50% COD),6,Lafayette Renew,129.87,139.69(0.97),145.57(0.95),98.96(0.96),99.2(0.96),254.48(0.96)
C3-S3 (75% COD),6,Lafayette Renew,196.42,195.3(0.87),137.48(0.9),34.12(0.93),34.67(0.93),40.21(0.95)
Ctrl-100% Inoculum,6,Lafayette Renew,26.54,38.13(0.77),41.57(0.65),36.5(0.88),36.35(0.89),28.77(0.95)
D1-SM (25% COD),6,Lafayette Renew,171.14,209.33(0.87),193.72(0.96),174.03(0.94),34.67(0.95),14.26(0.06)
D2-SM (50% COD),6,Lafayette Renew,171.96,161.73(0.86),214.07(0.93),48.7(0.93),48.15(0.92),6.54(0)
D3-SM (75% COD),6,Lafayette Renew,10.34,24.64(0.48),12.04(0.65),15.37(0.69),11.08(0.73),7.64(0.74)
D4-SM (150% COD),6,Lafayette Renew,7.23,9.79(0.7),8.76(0.77),8.27(0.84),11.23(0.87),2.33(0.08)
D5-SM (50% COD),6,Lafayette Renew,9.84,10.06(0.97),12.41(0.55),15.26(0.87),15.26(0.63),14.55(0.62)
DM(100),1,Fairoaks,138.17,155.93(0.94),153.48(0.86),79.57(0.94),80.77(0.94),78.39(78.39)
DM(90)+EFFL(10),1,Fairoaks,154.37,186.31(0.78),164.08(0.98),143.47(0.94),143.23(0.94),138.46(138.46)
EEFFL(100),4,Biotown,53.34,61.91(0.8),44.98(0.95),51.62(1),53.88(1),4.11(-0.02)
EEFFL(100),5,Biotown,105.91,122.93(0.71),94.6(0.95),98.24(0.98),103.56(1),19.17(-0.03)
EFFL(100),1,Fairoaks,98.7,0.18(-0.15),93.99(1),109.68(0.96),111.44(0.96),108.56(108.56)
EMID(50),4,Biotown,92.96,94.08(0.99),80.14(0.93),82.75(0.97),122.13(0.93),24.45(0.47)
EMID(50),5,Biotown,115.75,0(NA),103.05(0.95),104.86(0.97),164.58(0.84),66.18(0.97)
EQ(80)+WEFFL(20) ,4,Biotown,4.09,4.13(0.92),3.98(0.93),0.67(1),1.32(0.76),0.03(0.97)
EQ(80)+WEFFL(20) ,5,Biotown,1.2,1.99(-0.02),0.99(0.91),0.95(-1),0.93(0.9),0.04(0.03)
EQ(90)+WEFFL(10) ,2,Biotown,8.81,8.96(0.91),8.6(0.97),9.91(0.8),10.19(0.78),9.91(0.8)
EQ(90)+WEFFL(10) ,3,Biotown,0.17,0.15(-0.05),0.15(0.76),0.17(0.72),0.17(0.84),0.08(0.62)
EQ(90)+WMID(10) ,2,Biotown,4.27,4.86(0.48),4.49(0.93),4.49(0.9),4.68(0.87),4.49(0.9)
EQ(90)+WMID(10) ,3,Biotown,0.21,0.21(0.18),0.2(1),0.21(0.2),0.2(0.97),0.17(0.82)
FINALEFFL(100),1,Fairoaks,83.15,78.51(0.86),97.42(0.93),26.5(0.89),26.6(0.89),50.33(50.33)
FINALEFFL(90)+EFFL(10),1,Fairoaks,78.4,82.42(0.92),77.86(0.99),67.32(0.97),67.21(0.97),67.04(67.04)
Standard Ctrl-Cellulose,6,Lafayette Renew,128.54,6.66(0.82),119.82(0.97),190.14(0.6),192.13(0.59),153.26(0.71)
Variable Ctrl-WAS+Inoculum,6,Lafayette Renew,80.25,574.84(0.07),104.39(0.6),114.81(0.65),113.77(0.65),79.51(0.95)
WAS (80%) + Inoculum (20%),6,Lafayette Renew,125.55,10.99(0.75),105.38(0.99),108.47(0.77),105.38(0.79),108.68(0.75)
WEFFL(10),2,Biotown,18.13,18.13(0.98),39.63(0.92),19.81(0.98),20.09(0.98),18.13(0.42)
WEFFL(10),3,Biotown,52.79,52.32(1),47.57(0.85),49.53(0.99),76.14(0.85),15.79(0.85)
WEFFL(100),2,Biotown,55.45,0.23(0.99),51.74(0.98),52.27(0.99),52.49(0.99),52.27(0.35)
WEFFL(100),3,Biotown,60.73,66(0.97),59.24(0.99),60.73(0.05),32.66(0.93),0.94(0.12)
WEFFL(20),4,Biotown,22.98,0.18(NA),21.1(0.99),19.01(0.99),18.95(0.99),1.95(-0.03)
WEFFL(20),5,Biotown,48.93,0.3(NA),43.98(0.97),49.01(1),69.93(0.85),0.04(0.46)
WMID(10),2,Biotown,44.63,54.22(0.15),195.44(0.97),46.9(0.74),47.12(0.7),44.63(0.53)
WMID(10),3,Biotown,50.49,45.83(0.99),43.93(0.92),50.08(0.95),52.75(0.92),4.14(0.72)
WMID(50),3,Biotown,74.66,74.66(1),66.6(0.9),74.66(0.96),73.87(1),41.59(0.89)
WMID(50),4,Biotown,80.13,89.69(0.81),95.25(0.92),69.96(0.92),129.59(0.99),18.29(0.96)
WMID(50),5,Biotown,184.21,215.55(0.66),166.2(0.96),171.33(0.98),180.92(1),40.02(0.94)
