Substrate,Date,Location,HRTcrit,um,kchen,k1,k2,k1mod,k2mod,lag,kt,T80,T90
A1-S1 (25% COD),6,Lafayette Renew,14(0.35),0.07(0.35),0.01(0.35),0.15(0.97),0.05(0.99),-0.02(0.59),6.01(0.59),-3(0.96),0.04,9,11
A2-S1 (50% COD),6,Lafayette Renew,10(0.45),0.11(0.45),0.06(0.45),0.11(0.9),0.04(0.74),-0.03(0.81),1.1(0.81),3(0.95),0.04,23,25
B1-S2 (25% COD),6,Lafayette Renew,7(0.55),0.14(0.55),0.04(0.55),0.15(0.98),0.02(0.99),-0.02(0.56),4.32(0.56),1(0.96),0.04,10,13
B3-S2 (75% COD),6,Lafayette Renew,17(0.26),0.06(0.26),0.08(0.26),0.04(0.54),0.12(0.58),-0.02(0.89),-0.37(0.89),-3(0.65),0.04,29,33
C1-S3 (25% COD),6,Lafayette Renew,9(0.6),0.11(0.6),0.1(0.6),0.11(0.94),0.01(0.73),NaN(0.56),NaN(0.56),2(0.74),0.04,24,26
C2-S3 (50% COD),6,Lafayette Renew,16(0.28),0.06(0.28),0.02(0.28),0.1(0.86),0.01(0.69),-0.03(0.87),0.75(0.87),5(0.94),0.04,28,33
C3-S3 (75% COD),6,Lafayette Renew,12(0.21),0.08(0.21),0.13(0.21),0.06(-0.67),0(0.54),-0.03(0.96),-0.11(0.96),11(0.85),0.02,40,42
Ctrl-100% Inoculum,6,Lafayette Renew,5(0.56),0.21(0.56),0.67(0.56),0.07(0.88),0.04(0.89),-0.02(NA),7.12(NA),3(0.79),0.04,26,29
D1-SM (25% COD),6,Lafayette Renew,9(0.48),0.11(0.48),0.06(0.48),0.12(0.91),0.02(NA),-0.02(0.87),0.7(0.87),5(0.96),0.04,25,27
D2-SM (50% COD),6,Lafayette Renew,44(0.29),0.02(0.29),0.06(0.29),0.06(0.68),0.03(0.62),-0.02(0.97),-0.3(0.97),11(0.85),0.02,39,42
D3-SM (75% COD),6,Lafayette Renew,2(0.74),0.64(0.74),1.03(0.74),0.12(0.94),0.6(NA),-0.02(0.62),5.48(0.62),8(0.94),0.05,13,16
D4-SM (150% COD),6,Lafayette Renew,5(0.53),0.2(0.53),0.38(0.53),0.09(0.56),0.14(0.54),-0.03(0.78),1.29(0.78),1(0.54),0.04,21,21
D5-SM (50% COD),6,Lafayette Renew,3(0.86),0.33(0.86),0.2(0.86),0.11(0.83),0.28(0.77),-0.01(0.55),7.43(0.55),1(0.8),0.04,12,13
DM(100),1,Fairoaks,12(0.45),0.08(0.45),0.02(0.45),0.12(0.86),0.03(0.99),-0.04(0.9),0.21(0.9),6(0.93),0.04,16,22
DM(90)+EFFL(10),1,Fairoaks,7(0.69),0.15(0.69),0.15(0.69),0.14(0.91),0.02(0.99),-0.04(0.83),0.84(0.83),4(0.97),0.05,17,26
EEFFL(100),4,Biotown,12(0.37),0.09(0.37),0.17(0.37),0.07(0.87),0(0.97),-0.03(0.89),1.8(0.89),1(0.95),0.02,35,42
EEFFL(100),5,Biotown,10(0.34),0.1(0.34),0.12(0.34),0.08(0.95),-0.07(1),-0.02(0.82),1.93(0.82),2(0.98),0.02,27,34
EFFL(100),1,Fairoaks,5(-0.07),0.21(-0.07),0(-0.07),0.13(0.65),0.03(0.65),-0.07(0.83),0.98(0.83),1(1),0.4,28,35
EMID(50),4,Biotown,13(0.25),0.08(0.25),0.08(0.25),0.07(0.85),-0.06(0.99),-0.02(0.85),2.03(0.85),1(0.91),0.02,33,41
EMID(50),5,Biotown,8(0.43),0.12(0.43),0.21(0.43),0.07(0.98),-0.14(0.99),-0.01(0.77),2.6(0.77),5(0.98),0.02,24,36
EQ(80)+WEFFL(20) ,4,Biotown,6(0.72),0.18(0.72),0.23(0.72),0.14(0.8),0.04(0.73),-0.02(1),1.77(1),3(0.53),0.04,24,31
EQ(80)+WEFFL(20) ,5,Biotown,11(0.35),0.09(0.35),0.5(0.35),0.04(0.72),0.03(0.9),-0.02(0.95),0.2(0.95),4(0.82),0.02,38,44
EQ(90)+WEFFL(10) ,2,Biotown,2(0.96),0.43(0.96),0.96(0.96),0.11(0.89),0(0.95),-0.07(0.83),0.98(0.83),4(0.83),0.07,8,23
EQ(90)+WEFFL(10) ,3,Biotown,-2(0.88),-0.49(0.88),-1.34(0.88),0.06(0.76),0.19(0.75),NaN(NA),NaN(NA),23(0.64),0.05,9,30
EQ(90)+WMID(10) ,2,Biotown,4(0.66),0.28(0.66),0.13(0.66),0.16(0.9),0.09(0.86),0.02(0.57),18.22(0.57),3(0.87),0.11,27,31
EQ(90)+WMID(10) ,3,Biotown,-14(0.82),-0.07(0.82),-0.19(0.82),0.06(0.38),0.29(0.3),NaN(NA),NaN(NA),34(0.28),0.09,13,35
