                    V1                   V2                  V3                  V4                       V5
1                    0                    0                   0                   0                DM.100..B
2                    0                    0                   0                   0                DM.100..C
3  -0.0350744027190725   0.0292316311583348 -0.0243621614036004  0.0203038586878807        DM.90..EFFL.10..A
4   0.0526173865028287                    0                   0                   0        DM.90..EFFL.10..B
5                    0                    0                   0                   0        DM.90..EFFL.10..C
6  0.00733078282306356 -0.00646272385110831 0.00569745422607265 -0.0050228023672443         FINALEFFL.100..A
7                    0                    0                   0                   0         FINALEFFL.100..B
8                    0                    0                   0                   0         FINALEFFL.100..C
9                    0                    0                   0                   0 FINALEFFL.90..EFFL.10..A
10                   0                    0                   0                   0 FINALEFFL.90..EFFL.10..B
11                   0                    0                   0                   0 FINALEFFL.90..EFFL.10..C
12                   0                    0                   0                   0              EFFL.100..A
