                    MSE               RMSE                R2             Bottle Model
1      5.20833333333333   2.28217732293819               0.4 EQ.90..WEFFL.10..A   KNN
2                     0                  0              <NA> EQ.90..WEFFL.10..B   KNN
3      1.60174021359726   1.26559875695153              <NA> EQ.90..WEFFL.10..C   KNN
4                     0                  0              <NA>  EQ.90..WMID.10..A   KNN
5                     0                  0              <NA>  EQ.90..WMID.10..B   KNN
6   0.00117528457310056  0.034282423675997              <NA>       WEFFL.100..B   KNN
7   0.00418047248259671 0.0646565733904659  0.33580216241233       WEFFL.100..C   KNN
8   0.00139370286924004 0.0373323300805085 0.462914363580399        WEFFL.10..A   KNN
9  0.000166795498863968 0.0129149331730353              <NA>         WMID.10..A   KNN
10  0.00412405056635666   0.06421877113708              <NA>         WMID.10..B   KNN
11                    0                  0              <NA>        WEFFL.10..B   KNN
12 0.000222729425543389 0.0149241222704516 0.424770363392055         WMID.50..A   KNN
13  0.00412405056635666   0.06421877113708              <NA>         WMID.50..B   KNN
14 0.000596771435804494 0.0244289057430842 0.481132209432435         WMID.50..C   KNN
