                    V1                  V2                   V3                  V4                 V5
1                    0                   0                    0                   0 EQ.90..WEFFL.10..A
2   0.0130209525255711 0.00395229539447661  -0.0130209525255711 -0.0151604801773222 EQ.90..WEFFL.10..B
3  -0.0128710526001139  -0.011672293302756   0.0128710526001139 -0.0150994746508906 EQ.90..WEFFL.10..C
4                    0                   0                    0                   0  EQ.90..WMID.10..A
5  -0.0195839479374931  0.0148961147346225  -0.0148961147346225  0.0148961147346225  EQ.90..WMID.10..C
6                    0                   0                    0                   0       WEFFL.100..A
7     0.22732839363569   0.423114088804735   -0.249010763488105  -0.125341806123539       WEFFL.100..B
8     9.67536937608149   -9.70167387184468    0.495164963750371  -0.338509062842698       WEFFL.100..C
9  -0.0374885102104598  0.0137231370986388 -0.00303071429232427 -0.0353329187781917        WEFFL.10..A
10                   0                   0                    0                   0        WEFFL.10..B
11    9.44059968373239                   0    -8.90586091146168                   0         WMID.10..A
12  -0.108940677244057                   0   0.0715829046933374 -0.0715829046933374         WMID.10..B
