                    MSE               RMSE                 R2             Bottle  Model
1      2.75441189117179   1.65964209731249 0.0657373047469616 EQ.80..WEFFL.20..A NNETAR
2      15.2986675612055   3.91135111709566  0.232496835502782 EQ.80..WEFFL.20..B NNETAR
3    0.0179890962419672  0.134123436587224               <NA> EQ.80..WEFFL.20..C NNETAR
4   0.00737811909475642 0.0858959783386651 0.0466842753943482         WMID.50..A NNETAR
5  0.000142620972592852 0.0119424022957214 0.0574038983370776         WMID.50..B NNETAR
6  0.000244828943912636 0.0156470107021321 0.0299405569551021         WMID.50..C NNETAR
7  0.000574922040829853 0.0239775320003926  0.189152992670664         EMID.50..A NNETAR
8  0.000701507254114553 0.0264859822191769 0.0791695999818432         EMID.50..B NNETAR
9  0.000469869994488107 0.0216764848277599  0.314739325130994         EMID.50..C NNETAR
10  0.00144838503005077 0.0380576540271568  0.133027048468731       EEFFL.100..A NNETAR
11 0.000283197784210455 0.0168284813399919 0.0207224810688946       EEFFL.100..B NNETAR
12 0.000329043570585376 0.0181395581695194 0.0436891428299557       EEFFL.100..C NNETAR
13 0.000191580564292865 0.0138412631032311  0.217376845877748        WEFFL.20..A NNETAR
14  0.00121877763585372 0.0349109959160967  0.480616087551657        WEFFL.20..B NNETAR
